ID,Group,Classification,Major,Height,Ethnicity,Cell Phone,Laptop,Commute,Coffee_week,Coffee_weekend,Sleep,Color,Person,Music_follis,coffee_follis,sleep_follis,Friday_class,,,,,
701,3,Junior,Biology,69 Inches,White/Caucasian,iPhone,Windows,40-60 mins,0,0,840,Blue,Night,Metal,4,5,No,,,,,
8644,1,Senior,Chemistry + Computer Science,71 inches,White/Caucasian,iPhone,Windows/Linux,0 mins,20,5,700,Yellow,Neither,Metal,3,6,Yes,,,,,
8777,2,Sophomore,Biology,63 in,Hispanic,Iphone,Apple,45 mins,1,1,600,Pink,Night,Alternative,2,6,Yes,,,,,
1277,4,Junior,Biology Pre-Opt,60 in.,Asian,iPhone,Apple,30 - 70 mins,0,0,530,Limegreen,Morning,Classic,2,7,Yes,,,,,
1259,6,Junior,STEM,5'8,Asian/,Iphone,Windows,45-70 mins,1,1,6,black,night,rock,5,6,no,,,,,
403,1,Junior,Biology+ Pre-Dental,66 in.,Hispanic,Iphone,Windows,45 min,2,0,700,Green,Both,Classic Rock,4,6,No,,,,,
1797,1,Senior,Biology,67 in.,White/Middle Eastern,Iphone,MAC,80 mins,0,0,700,Blue,Night,Rap,2,6,No,,,,,
3953,5,Junior,Biology,64 inches,Hispanic,iPhone,Apple,40 mins,5,5,600,Pink,Night,Jazz,7,6,Yes,,,,,
6291,5,Junior,Chemistry,68inches,Hispanic,iPHONE,Aplle,20 mins,0,0,700,Blue,Both,Rock,5,7,No,,,,,
7561,5,Junior,Biology,70 inches,Asian,iPhone,Apple,40 min,0,0,700,green,night,rock,2,6,no,,,,,
9872,4,Junior,Biology/Pre-Med,67 inches,Indo-Caribbean/Asian,Iphone,Apple,45 mins,2,0,550,Black,Both,Alternative Indie,3,5,No,,,,,
1883,3,Senior,Computer Science,66 inches,Asian,Android,Windows,50 mins,8,2,720,None,Morning/Night,Jazz/Rock,3,6,Yes,,,,,
4093,1,Junior,Biology,63 in.,Multi-racial,iPhone,Apple,25 min,2,2,500,Green,Night,Classical,3,7,No,,,,,
4892,1,Senior,Biology,62 inc,Hispanic,iPhone,Apple,0 mins,3,0,720,Pink,Morning,Country,3,5,no,,,,,
9867,1,Post Bachelor,Pre Dental,5'3,Hispanic,iPhone,Windows,40 min,2,2,600,Red,Both,Jazz,3,5,No,,,,,
5174,3,Post-bac,pre-med,67 inches,Caucasian,iPhone,Windows,0 minutes,1,1,700,green,Both,Metal,2,5,yes,,,,,
7000,1,Senior,Chemistry + Pre-Pharmacy,64 inches,Caucasian,iPhone,Windows,40-45 min,1,1,650,purple,night,Jazz,2,7,,,,,,
8746,5,Post-Bac,Pre-Med,"76""",White,Android,Apple,20 mins,0,0,800,Green,Morning,Rock Opera,3,8,No,,,,,
291,4,Junior,Chemistry + Pre-Med,67 inches,Asian,iPhone,Apple,45 minutes,1,0,525,Purple,Both,Classic Rock,3,7,Yes,,,,,
7919,6,Sophomore,Cell and Molecular Biology,66 inches,Asian,iPhone,Windows,30 minutes,0,0,650,White,Morning,Metal,10,10,Yes,,,,,
6787,4,Junior,Biology,62 inches,,Iphone,Apple,30 minutes,0,0,525,Blue,Both,Indie,2,6,yes,,,,,
3609,6,junior,BioInformatics,5'8,Asian,Android,Apple,30 minutes,0,0,600,Blue,Night,Classic Rock,5,5,Yes,,,,,
3611,2,junior,Chemistry,64 inches,Asian,iphone,apple,10 mins,0,1,650,Black,Morning,Rock,2,7,Yes,,,,,
2423,6,junior,biology,65 inch,white,android,windows,20 min,3,1,700,blue,morning,rock,4,8,no,,,,,
1903,1,Junior,Biology,71inches,Palestinian,Iphone,Mac,35mins,0,0,800hours,Red,Night,Jazz,2-3 cups,5-6 hours,No,,,,,
7468,1,Junior,Comp. Sci,70 inches,Asian,Android,Windows,45 min,2,1,700 hours,Blue,Both,Jazz,0 cups,7 hours,No,,,,,
8724,1,Senior,Computer Science,74 inches,Black/White,Android,Windows/Linux,40~ minutes,1,1,500,Blue,Afternoon,Rock,3,7,yes,,,,,
3442,                        1,Freshman,Biology,6ft,African American,iPhone,HP,5mins,0,0,700 hours,blue,Night,Jazz,,4,No,,,,,
